report_id,report_date,freshness,age_days,county,water_name,source_type,source_name,official,title,summary,species,techniques,source_url
d245cc5797f19f9542a0,2026-07-01,recent,31,Lincoln,LABARGE CREEK (USFS),official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,Recent WGFD stocking: LABARGE CREEK (USFS),"Wyoming Game and Fish reports stocking LABARGE CREEK (USFS) during JUL 2026. Species: COLORADO RIVER CUTTHROAT. Number stocked: 8,746. Reported length: 1.4. No exact Fishing Guide water-name match was found.",COLORADO RIVER CUTTHROAT,,https://wgfapps.wyo.gov/FishStock/FishStock
de6e17b40242b1441235,2026-07-01,recent,31,Carbon,KORTES RESERVOIR,official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,Recent WGFD stocking: KORTES RESERVOIR,"Wyoming Game and Fish reports stocking KORTES RESERVOIR during JUL 2026. Species: BROOK TROUT. Number stocked: 3,769. Reported length: 3.8. No exact Fishing Guide water-name match was found.",BROOK TROUT,,https://wgfapps.wyo.gov/FishStock/FishStock
2493318f46c049df7561,2026-07-01,recent,31,Albany,Johnson Creek Pond,official_recent_stocking,Wyoming Game and Fish Department,True,Recent WGFD stocking: Johnson Creek Pond,Wyoming Game and Fish reports stocking Johnson Creek Pond during JUL 2026. Species: BROOK TROUT. Number stocked: 548. Reported length: 4.8.,BROOK TROUT,,https://wgfapps.wyo.gov/FishStock/FishStock
c948f234b9c01741ff64,2026-07-01,recent,31,Sublette,JJ SPRING CREEK,official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,Recent WGFD stocking: JJ SPRING CREEK,Wyoming Game and Fish reports stocking JJ SPRING CREEK during JUL 2026. Species: COLORADO RIVER CUTTHROAT. Number stocked: 550. Reported length: 8.1. No exact Fishing Guide water-name match was found.,COLORADO RIVER CUTTHROAT,,https://wgfapps.wyo.gov/FishStock/FishStock
2ffb1a2c4ac3bf609792,2026-07-01,recent,31,Fremont,Horse Creek,official_recent_stocking,Wyoming Game and Fish Department,True,Recent WGFD stocking: Horse Creek,Wyoming Game and Fish reports stocking Horse Creek during JUL 2026. Species: COLORADO RIVER CUTTHROAT. Number stocked: 576. Reported length: 7.4.,COLORADO RIVER CUTTHROAT,,https://wgfapps.wyo.gov/FishStock/FishStock
c0fadcd9b250395746d8,2026-07-01,recent,31,Johnson,Healy Reservoir,official_recent_stocking,Wyoming Game and Fish Department,True,Recent WGFD stocking: Healy Reservoir,Wyoming Game and Fish reports stocking Healy Reservoir during JUL 2026. Species: COLORADO RIVER CUTTHROAT. Number stocked: 55. Reported length: 8.1.,COLORADO RIVER CUTTHROAT,,https://wgfapps.wyo.gov/FishStock/FishStock
d891871a99fda8c87e24,2026-07-01,recent,31,Sublette,Halfmoon Lake,official_recent_stocking,Wyoming Game and Fish Department,True,Recent WGFD stocking: Halfmoon Lake,"Wyoming Game and Fish reports stocking Halfmoon Lake during JUL 2026. Species: COLORADO RIVER CUTTHROAT. Number stocked: 8,181. Reported length: 8.7.",COLORADO RIVER CUTTHROAT,,https://wgfapps.wyo.gov/FishStock/FishStock
e39627586600a46af2b3,2026-07-01,recent,31,Fremont,HIDDEN LAKE,official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,Recent WGFD stocking: HIDDEN LAKE,Wyoming Game and Fish reports stocking HIDDEN LAKE during JUL 2026. Species: BROOK TROUT. Number stocked: 326. Reported length: 3.7. No exact Fishing Guide water-name match was found.,BROOK TROUT,,https://wgfapps.wyo.gov/FishStock/FishStock
bc81c227125651e201e7,2026-07-01,recent,31,Teton,GAME CREEK,official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,Recent WGFD stocking: GAME CREEK,"Wyoming Game and Fish reports stocking GAME CREEK during JUL 2026. Species: BROOK TROUT. Number stocked: 3,600. Reported length: 5.5. No exact Fishing Guide water-name match was found.",BROOK TROUT,,https://wgfapps.wyo.gov/FishStock/FishStock
9f2f65e58c01eaf383e3,2026-07-01,recent,31,Sublette,FISH CREEK,official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,Recent WGFD stocking: FISH CREEK,"Wyoming Game and Fish reports stocking FISH CREEK during JUL 2026. Species: COLORADO RIVER CUTTHROAT. Number stocked: 9,983. Reported length: 1.1. No exact Fishing Guide water-name match was found.",COLORADO RIVER CUTTHROAT,,https://wgfapps.wyo.gov/FishStock/FishStock
323f8ba1418c1da71371,2026-07-01,recent,31,Park,DICK CREEK,official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,Recent WGFD stocking: DICK CREEK,Wyoming Game and Fish reports stocking DICK CREEK during JUL 2026. Species: BROOK TROUT. Number stocked: 150. Reported length: 5.5. No exact Fishing Guide water-name match was found.,BROOK TROUT,,https://wgfapps.wyo.gov/FishStock/FishStock
