access_area_name,county,official_wdfw_url
Thorp,Kittitas,https://wdfw.wa.gov/places-to-go/water-access-sites/thorp-1044
Teanaway Junction,Kittitas,https://wdfw.wa.gov/places-to-go/water-access-sites/teanaway-junction-1042
Kinghorn Slough,Kittitas,https://wdfw.wa.gov/places-to-go/water-access-sites/30286
Lavender Lake,Kittitas,https://wdfw.wa.gov/places-to-go/water-access-sites/lavender-lake-444
Fiorito Lake,Kittitas,https://wdfw.wa.gov/places-to-go/water-access-sites/30285
Mesa Lake,Franklin,https://wdfw.wa.gov/places-to-go/water-access-sites/mesa-lake-1738
Ringold Springs,Franklin,https://wdfw.wa.gov/places-to-go/water-access-sites/30083
Clark Pond,Franklin,https://wdfw.wa.gov/places-to-go/water-access-sites/clark-pond-1583
Hyde Road,Benton,https://wdfw.wa.gov/places-to-go/water-access-sites/hyde-road-741
Duportail,Benton,https://wdfw.wa.gov/places-to-go/water-access-sites/30909
Benton City,Benton,https://wdfw.wa.gov/places-to-go/water-access-sites/benton-city-1549
Snively Road,Benton,https://wdfw.wa.gov/places-to-go/water-access-sites/snively-road-740
Dodd,Walla Walla,https://wdfw.wa.gov/places-to-go/water-access-sites/30978
Baker River,Skagit,https://wdfw.wa.gov/places-to-go/water-access-sites/baker-river-605
Edgewater Park,Skagit,https://wdfw.wa.gov/places-to-go/water-access-sites/edgewater-park-606
Hamilton,Skagit,https://wdfw.wa.gov/places-to-go/water-access-sites/30478
Clear Lake,Skagit,https://wdfw.wa.gov/places-to-go/water-access-sites/clear-lake-310
Lake McMurray,Skagit,https://wdfw.wa.gov/places-to-go/water-access-sites/lake-mcmurray-476
Lake Erie,Skagit,https://wdfw.wa.gov/places-to-go/water-access-sites/lake-erie-362
Gilligan Creek,Skagit,https://wdfw.wa.gov/places-to-go/water-access-sites/gilligan-creek-603
Big Lake,Skagit,https://wdfw.wa.gov/places-to-go/water-access-sites/big-lake-260
Samish River,Skagit,https://wdfw.wa.gov/places-to-go/water-access-sites/samish-river-575
Pressentin Ferry,Skagit,https://wdfw.wa.gov/places-to-go/water-access-sites/30472
