county_number,county,water_name,water_type,latitude,longitude,public_access_verified,access_point_count,access_point_name,manager,boat_ramp,dock,restroom,camping,ada_fishing,official_source_url,access_details
28,Madison,Kountz Bridge,public fishing access site,45.84355430612852,-112.06324859468172,True,1,Kountz Bridge,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39753562,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Concrete). Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
28,Madison,Lake Cameron,lake,45.213866528887785,-111.55455237359354,True,3,Public access site 670,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
28,Madison,Lake Cameron,lake,45.213866528887785,-111.55455237359354,True,3,Public access site 686,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
28,Madison,Lake Cameron,lake,45.213866528887785,-111.55455237359354,True,3,Public access site 687,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
28,Madison,Little Hell Roaring Creek,creek,45.45229656902187,-111.37388238079461,True,2,Public access site 64,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site. Accessibility: <p>Open December 1 - October 15.<br />Normally plowed within 3.5 mi. of cabin. For summer use check w/district.</p>
28,Madison,Little Hell Roaring Creek,creek,45.45229656902187,-111.37388238079461,True,2,Public access site 217,U.S. Forest Service recreation site,False,False,True,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site. Accessibility: <p>Open from May 15 - September 15</p>
28,Madison,Madison River,river,45.294836517860205,-111.75608243216756,True,2,Eight Mile Ford,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39753528,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Gravel). Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
28,Madison,Madison River,river,45.294836517860205,-111.75608243216756,True,2,Burnt Tree Hole,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39753506,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Concrete). Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
28,Madison,North Meadow Creek,creek,45.44176653651616,-111.7071424490507,True,1,Meadow Lake,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39753410,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
28,Madison,Norwegian Creek,creek,45.705646562220664,-111.70227249863916,True,1,Harrison Lake,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39753406,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Concrete). Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
28,Madison,Odell Creek,creek,45.26005251654124,-111.73034042077694,True,1,Varney Bridge,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39753404,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Concrete). Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
28,Madison,Pole Creek,creek,45.61541656961829,-111.533392445685,True,1,Damselfly,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39754720,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Concrete). Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
28,Madison,Public access site 630,public fishing access site,45.69359649327235,-112.42279264770231,True,1,Public access site 630,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
28,Madison,Quake Lake,lake,44.85138650833031,-111.39806227490678,True,1,Public access site 167,U.S. Forest Service recreation site,True,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
28,Madison,Ruby Creek,creek,45.04813749737688,-111.72995938058624,True,4,McAtee Bridge,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39753516,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Gravel). Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
28,Madison,Ruby Creek,creek,45.04813749737688,-111.72995938058624,True,4,WEST MADISON BOAT RAMP,Bureau of Land Management recreation site,True,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/45,Bureau of Land Management recreation site. Descriptio: WEST MADISON BOAT RAMP
28,Madison,Ruby Creek,creek,45.04813749737688,-111.72995938058624,True,4,RUBY CREEK CAMPGROUND,Bureau of Land Management recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/45,Bureau of Land Management recreation site. Descriptio: RUBY CREEK CAMPGROUND
