report_id,report_date,freshness,age_days,county_number,county,water_name,source_type,source_name,official,rating,title,summary,species,techniques,access_notes,source_url,observed_period,raw_source_reference
d43ecd41c1936b70e3,2026-06-08,recent,48,15,Caribou,Blackfoot,official_fishing_update,Idaho Fish and Game,True,,Blackfoot ranchers Mark and Wendy Pratt receive award from Western Association of Fish and Wildlife Agencies,"Home Press Releases and Articles idfg-rphillips Monday, June 8, 2026 - 2:40 PM MDT Couple has worked extensively with Fish and Game on wildlife research and public access Mark and Wendy Pratt of Blackfoot were recently presented the Western Association of Fish and Wildlife Agency’s “Outstanding Citizen Wildlife Contributor of the Year Award” for their exemplary work balancing private land stewardship, wildlife…",,,,https://idfg.idaho.gov/article/blackfoot-ranchers-mark-and-wendy-pratt-receive-award-western-association-fish-and-wildlife,,
c5993dc1f912861d67,2026-06-08,recent,48,30,Lemhi,Salmon River,official_fishing_update,Idaho Fish and Game,True,,Chinook fishing in the Little Salmon River is closed,"Home Press Releases and Articles idfg-rphillips Monday, June 8, 2026 - 3:37 PM MDT Idaho Fish and Game closed sport fishery for Chinook salmon in the Little Salmon River on June 8 after harvest objectives were met. As of June 8, the Lochsa River is the only remaining Chinook fishery open. The South Fork Salmon River and Upper Salmon River will open for Chinook fishing on June 18. For updates on all Chinook fishing…",,,,https://idfg.idaho.gov/article/chinook-fishing-little-salmon-river-closed,,
be3ed009c94dc3990c,2026-06-08,recent,48,14,Canyon,Snake River,official_fishing_update,Idaho Fish and Game,True,,Tagging and learning about walleye in the lower Snake River,"Home Press Releases and Articles idfg-mdobos Monday, June 8, 2026 - 1:40 PM MDT Anglers are encountering more walleye in the Snake River from Lewiston to Hells Canyon Dam in the past couple of years and some are wondering why. The first walleye documented in this section of the Snake River was in 2019. Since then, the number of reported walleye has substantially increased and the Idaho Department of Fish and Game…",,,,https://idfg.idaho.gov/article/tagging-and-learning-about-walleye-lower-snake-river,,
be3ed009c94dc3990c,2026-06-08,recent,48,37,Owyhee,Snake River,official_fishing_update,Idaho Fish and Game,True,,Tagging and learning about walleye in the lower Snake River,"Home Press Releases and Articles idfg-mdobos Monday, June 8, 2026 - 1:40 PM MDT Anglers are encountering more walleye in the Snake River from Lewiston to Hells Canyon Dam in the past couple of years and some are wondering why. The first walleye documented in this section of the Snake River was in 2019. Since then, the number of reported walleye has substantially increased and the Idaho Department of Fish and Game…",,,,https://idfg.idaho.gov/article/tagging-and-learning-about-walleye-lower-snake-river,,
8ff60687008cac5091,2026-06-04,recent,52,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,Catch the fun on Free Fishing Day June 13,"Home Press Releases and Articles idfg-gschoby Thursday, June 4, 2026 - 2:55 PM MDT All kids will go home with a prize at Salmon Region events Young anglers will have plenty of opportunity to catch a Free Fishing Day event in the Salmon Region this year, as three fishing derbies are being held on Saturday, June 13. Kid’s fishing derbies will be held at Kid’s Pond in Salmon (9:00 am to noon), Blue Mountain Meadow Pond…",,,,https://idfg.idaho.gov/article/catch-fun-free-fishing-day-june-13,,
3b95fef5cfb518c9eb,2026-06-04,recent,52,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,"No matter where you live in Idaho, Free Fishing Day on June 13 offers fun for the whole family","Home Press Releases and Articles idfg-cliess Thursday, June 4, 2026 - 11:53 AM MDT Fish and Game will host statewide events to help beginners get started. On June 13, anyone can get out and enjoy a day of fishing without a fishing license, but all other rules still apply. Free Fishing Day is an Idaho tradition that includes Fish and Game employees and volunteers bringing fishing gear to various fishing spots and…",,,,https://idfg.idaho.gov/article/no-matter-where-you-live-idaho-free-fishing-day-june-13-offers-fun-whole-family,,
35863cdd3ed0f178cc,2026-06-04,recent,52,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,So you want to take your kids fishing...,"Home Press Releases and Articles idfg-cliess Thursday, June 4, 2026 - 9:55 AM MDT Follow these 10 tips to get your kiddos hooked on fishing. If you want to be rock star to your kids this summer, there's one surefire way to achieve stardom: Taking them fishing. And there's no better time to do so than Free Fishing Day in Idaho. From the fresh air to the excitement of feeling a tug on your line, fishing provides the…",,,,https://idfg.idaho.gov/article/so-you-want-take-your-kids-fishing,,
701946723f82f9d816,2026-06-03,recent,53,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,"Over 11,000 catchable rainbow trout are headed for lakes in the Panhandle Region in June","Home Press Releases and Articles idfg-tjross Wednesday, June 3, 2026 - 5:19 PM MDT School is almost out and fish are stocked and ready to be caught Students will soon be released from school, and rainbow trout are being released in waters all over the Panhandle in June! Over 11,000 catchable-size (10 to 12 inch) rainbow trout will be stocked in the Panhandle Region in June. Stocking of all waters is tentative and…",,,,https://idfg.idaho.gov/article/over-11000-catchable-rainbow-trout-are-headed-lakes-panhandle-region-june,,
965ff8d86e3f123b07,2026-06-03,recent,53,9,Bonner,Crystal Lake,official_fishing_update,Idaho Fish and Game,True,,Parking area at Fish and Game access site on Crystal Lake near Priest River closed for emergency road repairs,"Home Press Releases and Articles idfg-tjross Wednesday, June 3, 2026 - 4:33 PM MDT Repairs will improve safety and long-term access for anglers Idaho Fish and Game has temporarily closed the parking area at the Crystal Lake access site , located about two miles east of Priest River along Highway 2, after staff discovered a sinkhole beneath the roadway that poses a hazard to vehicles. The closure will allow Fish and…",,,,https://idfg.idaho.gov/article/parking-area-fish-and-game-access-site-crystal-lake-near-priest-river-closed-emergency-road,,
27fa33c0c0ad35db18,2026-06-02,recent,54,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,Dust off that old fishing gear for Free Fishing Day and beyond,"Home Press Releases and Articles idfg-rphillips Tuesday, June 2, 2026 - 2:52 PM MDT Free Fishing Day is June 13, and it’s a great opportunity to be outdoors and get acquainted with Idaho’s great fishing spots. Fishing is an inexpensive sport because you can get all the gear you need for about $50 (or less). But odds are good you have some old fishing gear laying around the house, or someone in your family has some…",,,,https://idfg.idaho.gov/article/dust-old-fishing-gear-free-fishing-day-and-beyond,,
4d19281fd494953a86,2026-06-02,recent,54,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,June trout stocking schedule for the Southeast Region,"Home Press Releases and Articles idfg-jjackson Tuesday, June 2, 2026 - 6:41 PM MDT Remember Free Fishing Day is on June 13 this year! Grab your fishing pole, pack the cooler, and don’t forget your fishing license! Personnel from Idaho Fish and Game’s hatcheries in the Southeast Region will be releasing over 14,000 catchable-sized rainbow trout at various locations during June. Don’t forget, June 13 is Free Fishing…",,,,https://idfg.idaho.gov/article/june-trout-stocking-schedule-southeast-region-1,,
f0858accb90f890015,2026-06-01,recent,55,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,Digital kiosks provide Idaho Fish and Game information at key recreation sites,"Home Press Releases and Articles idfg-jbruns Monday, June 1, 2026 - 1:31 PM MDT Idaho Fish and Game is partnering with the Bureau of Land Management (BLM) Cottonwood Field Office to provide outdoor recreationists with easier access to hunting, fishing, boating, and wildlife information through a network of new digital kiosks installed at popular recreation sites across north-central Idaho. Five kiosks are now fully…",,,,https://idfg.idaho.gov/article/digital-kiosks-provide-idaho-fish-and-game-information-key-recreation-sites,,
